Time,X(CH1),X(CH2),
Second,Volt,Volt,
-6.0000000e+00,-0.00000e+00,-3.99995e-02,
-5.9985352e+00,-0.00000e+00,-3.99995e-02,
-5.9970703e+00,-0.00000e+00,-3.99995e-02,
-5.9956055e+00,-0.00000e+00,-3.99995e-02,
-5.9941406e+00,-0.00000e+00,-3.99995e-02,
-5.9926758e+00,-0.00000e+00,-3.99995e-02,
-5.9912109e+00,-0.00000e+00,-3.99995e-02,
-5.9897461e+00,-0.00000e+00,-3.99995e-02,
-5.9882813e+00,-0.00000e+00,-3.99995e-02,
-5.9868164e+00,-0.00000e+00,-3.99995e-02,
-5.9853516e+00,-0.00000e+00,-3.99995e-02,
-5.9838867e+00,-0.00000e+00,-3.99995e-02,
-5.9824219e+00,-0.00000e+00,-3.99995e-02,
-5.9809570e+00,-0.00000e+00,-3.99995e-02,
-5.9794922e+00,-0.00000e+00,-3.99995e-02,
-5.9780273e+00,-0.00000e+00,-3.99995e-02,
-5.9765625e+00,-0.00000e+00,-3.99995e-02,
-5.9750977e+00,-0.00000e+00,-3.99995e-02,
-5.9736328e+00,-0.00000e+00,-3.99995e-02,
-5.9721680e+00,-0.00000e+00,-3.99995e-02,
-5.9707031e+00,-0.00000e+00,-3.99995e-02,
-5.9692383e+00,-0.00000e+00,-7.99999e-02,
-5.9677734e+00,-0.00000e+00,-3.99995e-02,
-5.9663086e+00,-0.00000e+00,-3.99995e-02,
-5.9648438e+00,-0.00000e+00,-3.99995e-02,
-5.9633789e+00,-0.00000e+00,-3.99995e-02,
-5.9619141e+00,-4.00000e-02,-3.99995e-02,
-5.9604492e+00,-0.00000e+00,-3.99995e-02,
-5.9589844e+00,-0.00000e+00,-3.99995e-02,
-5.9575195e+00,-0.00000e+00,-3.99995e-02,
-5.9560547e+00,-0.00000e+00,-3.99995e-02,
-5.9545898e+00,-0.00000e+00,-3.99995e-02,
-5.9531250e+00,-0.00000e+00,-3.99995e-02,
-5.9516602e+00,-0.00000e+00,-3.99995e-02,
-5.9501953e+00,-0.00000e+00,4.76837e-07,
-5.9487305e+00,-0.00000e+00,-3.99995e-02,
-5.9472656e+00,-0.00000e+00,-3.99995e-02,
-5.9458008e+00,-0.00000e+00,-3.99995e-02,
-5.9443359e+00,-0.00000e+00,4.76837e-07,
-5.9428711e+00,-0.00000e+00,-3.99995e-02,
-5.9414063e+00,-0.00000e+00,-3.99995e-02,
-5.9399414e+00,-0.00000e+00,-3.99995e-02,
-5.9384766e+00,-4.00000e-02,-7.99999e-02,
-5.9370117e+00,4.00000e-02,-3.99995e-02,
-5.9355469e+00,-0.00000e+00,-3.99995e-02,
-5.9340820e+00,-0.00000e+00,-3.99995e-02,
-5.9326172e+00,-0.00000e+00,-3.99995e-02,
-5.9311523e+00,-0.00000e+00,-3.99995e-02,
-5.9296875e+00,-0.00000e+00,-3.99995e-02,
-5.9282227e+00,-0.00000e+00,-3.99995e-02,
-5.9267578e+00,-0.00000e+00,-3.99995e-02,
-5.9252930e+00,-0.00000e+00,-3.99995e-02,
-5.9238281e+00,4.00000e-02,-3.99995e-02,
-5.9223633e+00,-0.00000e+00,-3.99995e-02,
-5.9208984e+00,-0.00000e+00,-3.99995e-02,
-5.9194336e+00,-0.00000e+00,-3.99995e-02,
-5.9179688e+00,-0.00000e+00,-3.99995e-02,
-5.9165039e+00,-0.00000e+00,-3.99995e-02,
-5.9150391e+00,-0.00000e+00,-3.99995e-02,
-5.9135742e+00,-0.00000e+00,-3.99995e-02,
-5.9121094e+00,-0.00000e+00,-3.99995e-02,
-5.9106445e+00,-0.00000e+00,-3.99995e-02,
-5.9091797e+00,7.99999e-02,-3.99995e-02,
-5.9077148e+00,-0.00000e+00,-3.99995e-02,
-5.9062500e+00,-0.00000e+00,-3.99995e-02,
-5.9047852e+00,-0.00000e+00,-3.99995e-02,
-5.9033203e+00,-0.00000e+00,-3.99995e-02,
-5.9018555e+00,-0.00000e+00,-3.99995e-02,
-5.9003906e+00,-0.00000e+00,-3.99995e-02,
-5.8989258e+00,-0.00000e+00,-3.99995e-02,
-5.8974609e+00,-4.00000e-02,-3.99995e-02,
-5.8959961e+00,-0.00000e+00,-3.99995e-02,
-5.8945313e+00,-0.00000e+00,-3.99995e-02,
-5.8930664e+00,-0.00000e+00,-3.99995e-02,
-5.8916016e+00,-0.00000e+00,-3.99995e-02,
-5.8901367e+00,-0.00000e+00,-3.99995e-02,
-5.8886719e+00,-0.00000e+00,-3.99995e-02,
-5.8872070e+00,-0.00000e+00,-7.99999e-02,
-5.8857422e+00,-0.00000e+00,-3.99995e-02,
-5.8842773e+00,-0.00000e+00,-3.99995e-02,
-5.8828125e+00,-0.00000e+00,-3.99995e-02,
-5.8813477e+00,-0.00000e+00,-3.99995e-02,
-5.8798828e+00,-0.00000e+00,-3.99995e-02,
-5.8784180e+00,-0.00000e+00,4.76837e-07,
-5.8769531e+00,-0.00000e+00,-3.99995e-02,
-5.8754883e+00,-0.00000e+00,-3.99995e-02,
